split,intent,count,percentage
train,cancel_order,100,3.703704
train,change_order,100,3.703704
train,change_shipping_address,100,3.703704
train,check_cancellation_fee,100,3.703704
train,check_invoice,100,3.703704
train,check_payment_methods,100,3.703704
train,check_refund_policy,100,3.703704
train,complaint,100,3.703704
train,contact_customer_service,100,3.703704
train,contact_human_agent,100,3.703704
train,create_account,100,3.703704
train,delete_account,100,3.703704
train,delivery_options,100,3.703704
train,delivery_period,100,3.703704
train,edit_account,100,3.703704
train,get_invoice,100,3.703704
train,get_refund,100,3.703704
train,newsletter_subscription,100,3.703704
train,payment_issue,100,3.703704
train,place_order,100,3.703704
train,recover_password,100,3.703704
train,registration_problems,100,3.703704
train,review,100,3.703704
train,set_up_shipping_address,100,3.703704
train,switch_account,100,3.703704
train,track_order,100,3.703704
train,track_refund,100,3.703704
validation,cancel_order,11,3.666667
validation,change_order,11,3.666667
validation,change_shipping_address,11,3.666667
validation,check_cancellation_fee,11,3.666667
validation,check_invoice,11,3.666667
validation,check_payment_methods,11,3.666667
validation,check_refund_policy,11,3.666667
validation,complaint,11,3.666667
validation,contact_customer_service,11,3.666667
validation,contact_human_agent,11,3.666667
validation,create_account,11,3.666667
validation,delete_account,11,3.666667
validation,delivery_options,11,3.666667
validation,delivery_period,11,3.666667
validation,edit_account,11,3.666667
validation,get_invoice,11,3.666667
validation,get_refund,11,3.666667
validation,newsletter_subscription,12,4.0
validation,payment_issue,11,3.666667
validation,place_order,11,3.666667
validation,recover_password,11,3.666667
validation,registration_problems,12,4.0
validation,review,11,3.666667
validation,set_up_shipping_address,11,3.666667
validation,switch_account,11,3.666667
validation,track_order,11,3.666667
validation,track_refund,12,4.0
dev,cancel_order,11,3.666667
dev,change_order,12,4.0
dev,change_shipping_address,12,4.0
dev,check_cancellation_fee,11,3.666667
dev,check_invoice,11,3.666667
dev,check_payment_methods,11,3.666667
dev,check_refund_policy,11,3.666667
dev,complaint,11,3.666667
dev,contact_customer_service,11,3.666667
dev,contact_human_agent,11,3.666667
dev,create_account,11,3.666667
dev,delete_account,11,3.666667
dev,delivery_options,11,3.666667
dev,delivery_period,12,4.0
dev,edit_account,11,3.666667
dev,get_invoice,11,3.666667
dev,get_refund,11,3.666667
dev,newsletter_subscription,11,3.666667
dev,payment_issue,11,3.666667
dev,place_order,11,3.666667
dev,recover_password,11,3.666667
dev,registration_problems,11,3.666667
dev,review,11,3.666667
dev,set_up_shipping_address,11,3.666667
dev,switch_account,11,3.666667
dev,track_order,11,3.666667
dev,track_refund,11,3.666667
locked_test,cancel_order,11,3.666667
locked_test,change_order,12,4.0
locked_test,change_shipping_address,12,4.0
locked_test,check_cancellation_fee,11,3.666667
locked_test,check_invoice,11,3.666667
locked_test,check_payment_methods,11,3.666667
locked_test,check_refund_policy,12,4.0
locked_test,complaint,11,3.666667
locked_test,contact_customer_service,11,3.666667
locked_test,contact_human_agent,11,3.666667
locked_test,create_account,11,3.666667
locked_test,delete_account,11,3.666667
locked_test,delivery_options,11,3.666667
locked_test,delivery_period,11,3.666667
locked_test,edit_account,11,3.666667
locked_test,get_invoice,11,3.666667
locked_test,get_refund,11,3.666667
locked_test,newsletter_subscription,11,3.666667
locked_test,payment_issue,11,3.666667
locked_test,place_order,11,3.666667
locked_test,recover_password,11,3.666667
locked_test,registration_problems,11,3.666667
locked_test,review,11,3.666667
locked_test,set_up_shipping_address,11,3.666667
locked_test,switch_account,11,3.666667
locked_test,track_order,11,3.666667
locked_test,track_refund,11,3.666667
