group_id,normalized_instruction,group_size,selected_row_count,intent,category,assigned_split
0791cf74e4aba1fed96138c17fcd6152d663aec38329546d49f88da013225971,"i bought some items, cancel order <entity>",1,1,cancel_order,ORDER,dev
51f3eee0e6c8fe9dd85591c31ec249d78d3fc3f69f7b2b276450ab20648f50e5,"i can no longer afford order <entity>, cancel it",2,2,cancel_order,ORDER,dev
64c78c274007a59e15c4328f8076549c69239a98808d9ea05de70139a1e65272,i cannot pay for these product how do i cancel the order,1,1,cancel_order,ORDER,dev
4da485eb6b14f6009e395b4356e87920a7fc16e7ca28d02d62c2cbe2c0e5b55c,i do not know how to cancel purchasw <entity>,1,1,cancel_order,ORDER,dev
08c89d34383bd9e4535940069264abf13b032e09f97320016d3c8e59b850e62a,i have got to cancel purcahse <entity>,1,1,cancel_order,ORDER,dev
0e2d957d2856d8a680e747413403d4907d36eed51f046d4be119b004b579f828,i need assistance cancelling purcjase <entity>,1,1,cancel_order,ORDER,dev
67fd7f63c2647a2f9c70a35a6c40b462c861065b4c4e8297858cf2df6b23d1d9,problems with cancelling order <entity>,4,4,cancel_order,ORDER,dev
99507b906eec69dae8972e0c0e2cc3978a4f887416831882e136a2fb865ae8bc,assistance to delete something from purcahse <entity>,1,1,change_order,ORDER,dev
8406aae3b7ff356616891bdc4b319f9689d3457bb5ffc3707bb4ed86ebd0d274,can you help me switch an item of order <entity>?,1,1,change_order,ORDER,dev
e5ae2431129b29805aa8ff7f2f4c79b23dbeabccb21ca32f9a32a7c37b9aff5c,change purxhase <entity>,2,2,change_order,ORDER,dev
1db89daa12cb494531d458c5e5bef5508165efb04f83cf4dd23ff2732c78096f,help swapping an article of purchase113542617735902,1,1,change_order,ORDER,dev
76a0f32a657388901a4d806956f2ad5860ea1429469538e4474272fddc3b4cb5,help to swap several items of order <entity>,1,1,change_order,ORDER,dev
c582cd01058f6051254a379cf0d7ddedf9cdf28d7f4db060da52d552e1dea92a,help to switch several products of order <entity>,1,1,change_order,ORDER,dev
e89d4453ab3d21fba4c0752a80a161809c28db8f6bdc6b504157563427d1fbe3,hw can i modify purchase <entity>?,1,1,change_order,ORDER,dev
be13477947502c8f5e635a9273291e1749a01824df3b526fd944120649f16695,i cant correct purchase <entity>,1,1,change_order,ORDER,dev
de6716ccc2fc2030b259a4ff6cb5df8b880a0342d6ce4f85381feb1b57b7eea1,need help with switching an item of purchase <entity>,1,1,change_order,ORDER,dev
375d0132d97f19400cef93ad3cde81c50f73fbcd109995f7900cc054682e3995,problem with adding a product to order <entity>,1,1,change_order,ORDER,dev
30a5616f86512d0745b5bb8f44eee8c92a906cbe6da335d411b9766f1422db6a,want help deleting several articles from purchase <entity>,1,1,change_order,ORDER,dev
331783ae9fab66043c0eea4758d1ac80ed6b2518b940dae70f7b9e9c83e75424,can ya tell me about modiyfing my address,1,1,change_shipping_address,SHIPPING,dev
2444c59cac98b26a14a603279e946ee9c6ee3fbc1d415ca1bf73b340ec62e8fe,could you tell me more about changing my delivery address?,1,1,change_shipping_address,SHIPPING,dev
cfd7c546d68f778028bf7a1657e70a0ad4ff85381b96a311de02bc7a68584e6b,help changimg my address,1,1,change_shipping_address,SHIPPING,dev
29c3d59259e16fb5c6fdc6d5595d00878ec09d6f972f7181e8bf991ad503778c,i cannot edit my shipping address,1,1,change_shipping_address,SHIPPING,dev
e43528b6d1c37e02cc31ca5cd226bd54487759f4365228cbf796123196aa224e,i chose a wrong address by mistake colud ya modify it,1,1,change_shipping_address,SHIPPING,dev
5a7b770883c3dfdce9627291b2556e5f40dec425c356df4d9454c2a697434320,i don't know how i can update my address,1,1,change_shipping_address,SHIPPING,dev
57bf8dbf63723caea3d244ac46a3e12686f0d4b5719e934414af6728fb93278b,i have an error updating my address,1,1,change_shipping_address,SHIPPING,dev
92f6a4ef00d40d93ea0235641b08f1e68ab01a29004e4d583db3da3b26ac5505,i have entered a wrong delivery address,1,1,change_shipping_address,SHIPPING,dev
72bdfd4610e207ff0a4a1904e9baa568b8eb1c3935fac6f663a4c06e94994853,i need support trying to update my shipping address,1,1,change_shipping_address,SHIPPING,dev
e75ca69dd4eb6570c81fa169d3010dd16329a428d36634125685f8175cfff653,i want supports changing my delivery address,1,1,change_shipping_address,SHIPPING,dev
c89154df34ae9f7cf629a47aad575f9d4043c01b04dc50cd5344b86bfadf3ee3,"the address changed, modify it",1,1,change_shipping_address,SHIPPING,dev
ac999aa3cce08caaa3bf3f9ed91345c5251a40365ee35db514d5fb5fabaedee1,wanna knowabout updating the address,1,1,change_shipping_address,SHIPPING,dev
3a24205a56da610bafdcf6994bae2dacaee64af33b0a149173e65a2e5394e2f5,can you show me the withdrawal penalties?,1,1,check_cancellation_fee,CANCEL,dev
0e77bdd9bdcecbc5f62ef2a85b9ebc7561209d2ac033cf0987281a8e6d450656,how can i checkthe cancellation charges?,1,1,check_cancellation_fee,CANCEL,dev
33d2e21fbe9c20c77066103876c43c4db2ad404eccffcf31c05516e4a45ecedf,how to check the fucking early termination charge?,1,1,check_cancellation_fee,CANCEL,dev
54976f26e35f057791a10f255f475504daece87235f3d21542e4b1c63090ef15,"i cannot find the termination fees, i need assistance",1,1,check_cancellation_fee,CANCEL,dev
007f77160c03d04b74b7547bd72c2e7a74fc4dc44e671552ea5420dd7fb22571,i do not know how to check the withdrawal charges,1,1,check_cancellation_fee,CANCEL,dev
4e39bd4fa8f0b8808959a5cb37339dd182a29de04059658cff07dc27b918b5f4,i don't know how i can see the early termination penalties,1,1,check_cancellation_fee,CANCEL,dev
9e3c229087de78958e73d34033a7eb3e188df84e61b794b460fd2a1ba9620138,i don't know what i need to do to see the termination fees,1,1,check_cancellation_fee,CANCEL,dev
b3d7c6440836de5572fb9e5096eb1e73a86d867afb8390f46658bac7b9f1d83e,i want help to check the cancellation penalty,1,1,check_cancellation_fee,CANCEL,dev
468ef2eb9efa0b510fb16dff28ecac1bb6b4993b49a756261e346ff19406bbb8,"i want to see the withdrawal charge, i need help",1,1,check_cancellation_fee,CANCEL,dev
02bbdf4406487156db108d8a77dea04ed9721642eef6be704afee81592634e63,seeing cancellation fees,1,1,check_cancellation_fee,CANCEL,dev
99e0ca768e310d177ef89dfd4fbc9dae5b54f642a64d1b740bb70897f47a275a,show cancellation penalties,1,1,check_cancellation_fee,CANCEL,dev
3d17d6ade25a4a79dcedff70d319b39aa1f86dafa10fd49d5af7b8a60bab1af2,how can i give a quick look at my bill #00108?,1,1,check_invoice,INVOICE,dev
d5d3c54c8e753dc80ab1236a8e911ac9bf591c688ecdddc9beb1e61d980a48a2,i have to locate the invoice #00108,1,1,check_invoice,INVOICE,dev
79c125f0816ebbb25a9883dcce0fbefcb705c52787e7dfb89a65b347ca574bdd,i need help giving a quick look at the bill from <entity>,1,1,check_invoice,INVOICE,dev
ccf29f618e44401b789fe69639113f75a2e416d3a848e64890092fbc88115dbc,i want assistance to look for my bill #85632,1,1,check_invoice,INVOICE,dev
2e3e933e5d884cb9f73bae60e50a893e62c193998dab87718253deb529a830dc,see the damn bills from <entity>,1,1,check_invoice,INVOICE,dev
c4d9e76ac9894633044b20fdd4dc4b6ab43aab97c1bbb7a1545bcd1bcf37bc5c,seeing bill from <entity>,5,5,check_invoice,INVOICE,dev
b4c23f59ce3c2ff470a560cec3c717e0c5acb3d5361d5aab865d244a0a56e2ed,want assistance to give an quick look at my bill #00108,1,1,check_invoice,INVOICE,dev
a9580237d7fb247994b4164a248979e9fe2bb1e60248c6f392833fc1ed279d9d,assistance checking the accepted payment options,1,1,check_payment_methods,PAYMENT,dev
0f6ea6c199dec438a3d3b717f7a124314bd07f73d7991b8832bd4a13a3e4c996,help me listing the payment modalities,1,1,check_payment_methods,PAYMENT,dev
c4565fd20a0bff84c874731e0aeda24dd225a3f126dbf8ea3bdfa981e656f760,help me seeing your available payment options,1,1,check_payment_methods,PAYMENT,dev
f32e587f757af3401f2ba182ba41b7cc468efac8dcac99daf1eab8b6e266006c,help me to see your accepted payment modalities,1,1,check_payment_methods,PAYMENT,dev
11e96778c52378f9a36cd2183ba524c887beec9235afacdd2069e263eecaf768,how to see ur allowed payment modalities,1,1,check_payment_methods,PAYMENT,dev
